address,age,bedroom,date,facilities,floor,func,latitude,longitude,meterage,parking,price,price_per_meter,properties,title,type,,,
تهران ، منطقه 2 ، سعادت اباد,2,2,,,,آپارتمان/برج,35.7867015097536,51.3801912379852,"1, 2, 2",1,27.4 میلیارد,,مسکونی,"122متر/2,خواب/تک واحدی/تاپ لوکیشن",مسکونی,,,
تهران ، منطقه 2 ، سعادت اباد,"1, 7",3,,,,آپارتمان/برج,35.784743579476,51.3620185318529,"1, 2, 5",1,14.5 میلیارد,,مسکونی,125متر3خواب سعادت‌آباد,مسکونی,,,
تهران ، منطقه 5 ، شهر زیبا,4,1,,,,آپارتمان/برج,35.7493958679329,51.2876783179994,"6, 2",1,5.6 میلیارد,,مسکونی,62متر فول امکانات /شهرزیبا,مسکونی,,,
تهران ، منطقه 5 ، سازمان برنامه مرکزی,"1, 2",1,,,,آپارتمان/برج,35.7310265969368,51.3013949214506,"6, 8",1,5.6 میلیارد,,مسکونی,"68متر فول امکانات بلوار شقایق ,سازمان مرکز",مسکونی,,,
تهران ، منطقه 5 ، سازمان برنامه مرکزی,"1, 4",1,,,,آپارتمان/برج,35.7310265969368,51.3013949214506,"5, 8",1,5.3 میلیارد,,مسکونی,58 متر سازمان برنامه تک خواب ,مسکونی,,,
تهران ، منطقه 5 ، فردوس,0,1,,,,آپارتمان/برج,35.7144545459077,51.3291626338248,"7, 1",1,8.2 میلیارد,115 میلیون,مسکونی,پیش فروش برترین برج باغ مدرن در فردوس غرب/مختص سرمایه گذاری و سکونت,مسکونی,,,
تهران ، منطقه 2 ، مرزداران,9,2,,,,آپارتمان/برج,35.7331305622186,51.3559080661722,"6, 7",1,8.3 میلیارد,,مسکونی,مرزداران 67متر 2خواب نورگیر عالی,مسکونی,,,
تهران ، منطقه 5 ، سازمان برنامه جنوبی,"1, 8",2,,,,آپارتمان/برج,35.7318733490704,51.2950914959575,"7, 9",1,6.2 میلیارد,78 میلیون,مسکونی,زیر قیمت منطقه/فول امکانات /فول دیزاین/خوش نقشه نما سنگ,مسکونی,,,
تهران ، منطقه 1 ، نیاوران," , س, ا, ل, ه",1,,,,آپارتمان/برج,35.8122225866672,51.461795964882,"6, 2",1,7.1 میلیارد,115 میلیون,مسکونی,لذت زندگی در سازه ای مدرن ,مسکونی,,,
تهران ، منطقه 2 ، سعادت اباد," , س, ا, ل, ه",1,,,,آپارتمان/برج,35.780451931353,51.3854374526053,"6, 4",2,7 میلیارد,110 میلیون,مسکونی,پبش فروش آپارتمانهای یکخواب و دوخواب در بلوارفردوس‌غرب,مسکونی,,,
تهران ، منطقه 2 ، مرزداران غربی,"2, 0",2,,,,آپارتمان/برج,35.745328478004,51.3323364782256,"7, 2",1,6.8 میلیارد,94.5 میلیون,مسکونی,مرزداران 72متر 2خواب سرمایه گذاری ,مسکونی,,,
تهران ، منطقه 2 ، شهرک غرب,"1, 6",3,,,,آپارتمان/برج,35.7535023513244,51.3742668698979,"1, 2, 8",1,16.2 میلیارد,,مسکونی,"128متر, شهرک غرب, 3خواب, تک واحدی ",مسکونی,,,
تهران ، منطقه 2 ، مرزداران غربی,"1, 5",2,,,,آپارتمان/برج,35.745328478004,51.3323364782256,"8, 2",1,8.9 میلیارد,108.5 میلیون,مسکونی,82متر  مرزداران نقشه طلا,مسکونی,,,
تهران ، منطقه 2 ، سعادت اباد,"1, 6",2,,,,آپارتمان/برج,35.7926221091132,51.3856164556639,"1, 0, 0",1,16 میلیارد,,مسکونی,"100متر, سعادت آباد, دو خواب, علامه شمالی ",مسکونی,,,
تهران ، منطقه 2 ، سعادت اباد,"1, 6",3,,,,آپارتمان/برج,35.7846990274706,51.3733219587146,"1, 5, 4",1,21.5 میلیارد,,مسکونی,154متر /سعادت آباد /3 خواب /رو به آفتاب ,مسکونی,,,
تهران ، منطقه 2 ، سعادت اباد,"1, 8",4,,,,آپارتمان/برج,35.7884346478648,51.3847076074008,"1, 9, 0",1,21 میلیارد,,مسکونی,"190 متر, سعادت آباد, 4 خواب, مرواریدها ",مسکونی,,,
تهران ، منطقه 2 ، سعادت اباد,9,3,,,,آپارتمان/برج,35.7849598262143,51.3729910207429,"1, 3, 5",1,20.3 میلیارد,,مسکونی,"135متر, سعادت آباد, 3خواب, کوی فراز, ویو ابدی ",مسکونی,,,
تهران ، منطقه 2 ، سعادت اباد,"1, 6",3,,,,آپارتمان/برج,35.7798974023041,51.3636725550561,"1, 3, 5",1,19.8 میلیارد,,مسکونی,"135متر, سعادت آباد, 3خواب, مرواریدها ",مسکونی,,,
تهران ، منطقه 2 ، سعادت اباد,"1, 6",2,,,,آپارتمان/برج,35.7883679450812,51.3753599821322,"1, 1, 5",1,16.5 میلیارد,,مسکونی,"115متر, سعادت آباد, دو خواب, مرواریدها ",مسکونی,,,
تهران ، منطقه 2 ، شهرک غرب,"2, 0",2,,,,آپارتمان/برج,35.7533393039617,51.3797721912466,"1, 3, 5",1,34.6 میلیارد,,مسکونی,135متر2خواب مستر/ویو ابدی,مسکونی,,,
تهران ، منطقه 2 ، شهرک غرب,"1, 6",2,,,,آپارتمان/برج,35.7633019648739,51.3852708361717,"1, 1, 8",1,19.4 میلیارد,,مسکونی,118متر/2خواب/دو واحدی,مسکونی,,,
تهران ، منطقه 2 ، سعادت اباد,"1, 8",2,,,,آپارتمان/برج,35.7796677384364,51.3850596951011,"1, 1, 5",1,16.5 میلیارد,,مسکونی,"115متر /سعادت آباد /2 خواب /رو به آفتاب, مرواریدها ",مسکونی,,,
تهران ، منطقه 2 ، شهرک غرب," , س, ا, ل, ه",2,,,,آپارتمان/برج,35.7597902814913,51.3755038209219,"1, 2, 5",1,28.5 میلیارد,,مسکونی,فروش آپارتمان/برج 2 خوابه در شهرک غرب - منطقه 2 ,مسکونی,,,
تهران ، منطقه 2 ، سعادت اباد,"1, 8",3,,,,آپارتمان/برج,35.7802944376694,51.3742544318846,"1, 1, 8",1,16 میلیارد,,مسکونی,118متر/2خواب/خوش نقشه,مسکونی,,,
تهران ، منطقه 2 ، سعادت اباد,"2, 0",3,,,,آپارتمان/برج,35.7806343601779,51.3749682873986,"1, 4, 1",1,25 میلیارد,,مسکونی,فروش آپارتمان/ 3 خوابه در سعادت اباد - منطقه 2 ,مسکونی,,,
تهران ، منطقه 2 ، شهرک غرب,"1, 7",1,,,,آپارتمان/برج,35.7597119258958,51.3757727522919,"1, 0, 0",1,21.5 میلیارد,,مسکونی,فروش آپارتمان/برج 1 خوابه در شهرک غرب - منطقه 2 ,مسکونی,,,
تهران ، منطقه 2 ، شهرک غرب,"2, 6",3,,,,آپارتمان/برج,35.7631656035198,51.3761635612988,"1, 4, 1",1,25 میلیارد,,مسکونی,141 متر  برج/شهرک غرب,مسکونی,,,
تهران ، منطقه 2 ، سعادت اباد,"1, 8",3,,,,آپارتمان/برج,35.7805177012962,51.3805995556484,"1, 5, 8",1,22.9 میلیارد,,مسکونی,فروش آپارتمان/برج 3 خوابه در سعادت اباد - منطقه 2 ,مسکونی,,,
تهران ، منطقه 2 ، سعادت اباد,1,2,,,,آپارتمان/برج,35.7897530407398,51.3831867840009,"1, 1, 4",1,22.9 میلیارد,,مسکونی,114 متر فول امکانات سعادت‌آباد,مسکونی,,,
تهران ، منطقه 2 ، سعادت اباد,"2, 4",4,,,,آپارتمان/برج,35.7795941921311,51.3753704963417,"1, 6, 0",1,20 میلیارد,,مسکونی,فروش آپارتمان/ 4 خوابه در سعادت اباد - منطقه 2 ,مسکونی,,,
تهران ، منطقه 2 ، سعادت اباد," , س, ا, ل, ه",3,,,,آپارتمان/برج,35.7866330590781,51.3891133740808,"1, 6, 5",2,41.3 میلیارد,,مسکونی,فروش آپارتمان/برج 3 خوابه در سعادت اباد - منطقه 2 ,مسکونی,,,
تهران ، منطقه 2 ، سعادت اباد,"2, 2",4,,,,آپارتمان/برج,35.7893654804135,51.3873006480137,"2, 1, 1",1,26 میلیارد,,مسکونی,فروش آپارتمان/ 4 خوابه در سعادت اباد - منطقه 2 ,مسکونی,,,
تهران ، منطقه 2 ، سعادت اباد,9,2,,,,آپارتمان/برج,35.7866306018587,51.3696616158101,"1, 0, 5",1,14 میلیارد,133 میلیون,مسکونی,105 متر آپارتمان 2 خواب// سعادت آباد مروارید بالای میدان کاج ,مسکونی,,,
تهران ، منطقه 2 ، سعادت اباد,"2, 0",1,,,,آپارتمان/برج,35.77910824878,51.3769701678,"7, 4",1,7.5 میلیارد,,مسکونی,74 متر سعادت‌آباد,مسکونی,,,
تهران ، منطقه 2 ، سعادت اباد,"1, 7",2,,,,آپارتمان/برج,35.7788841920977,51.3759350478865,"1, 0, 0",1,11 میلیارد,,مسکونی,فروش آپارتمان/2 خوابه در سعادت اباد - منطقه 2 ,مسکونی,,,
تهران ، منطقه 2 ، سعادت اباد,"1, 6",2,,,,آپارتمان/برج,35.7806809877577,51.3629054885368,"1, 0, 9",1,15.5 میلیارد,,مسکونی,فروش آپارتمان/ 2 خوابه در سعادت اباد - منطقه 2 ,مسکونی,,,
تهران ، منطقه 2 ، سعادت اباد,"1, 7",1,,,,آپارتمان/برج,35.7871613599947,51.3799056573942,"6, 5",1,8.2 میلیارد,,مسکونی,فروش آپارتمان/ 1 خوابه در سعادت اباد - منطقه 2 ,مسکونی,,,
تهران ، منطقه 2 ، شهرک غرب,5,2,,,,آپارتمان/برج,35.7536861377226,51.3856673832807,"9, 0",1,14.4 میلیارد,,مسکونی,فروش آپارتمان/ 2 خوابه در شهرک غرب - منطقه 2 ,مسکونی,,,
تهران ، منطقه 2 ، سعادت اباد,"1, 3",2,,,,آپارتمان/برج,35.7818815440301,51.3711863382446,"1, 0, 0",1,12 میلیارد,,مسکونی,فروش آپارتمان2 خوابه در سعادت اباد - منطقه 2 ,مسکونی,,,
تهران ، منطقه 2 ، سعادت اباد,"1, 6",2,,,,آپارتمان/برج,35.7802895319962,51.3774393632508,"1, 3, 5",1,17.9 میلیارد,,مسکونی,فروش آپارتمان/ 2 خوابه در سعادت اباد - منطقه 2 ,مسکونی,,,
تهران ، منطقه 2 ، سعادت اباد,"2, 0",3,,,,آپارتمان/برج,35.7799324783879,51.3854173461166,"1, 9, 1",1,30.5 میلیارد,,مسکونی,فروش آپارتمان 3 خوابه در سعادت اباد - منطقه 2 ,مسکونی,,,
تهران ، منطقه 2 ، سعادت اباد,"2, 0",2,,,,آپارتمان/برج,35.7819491915435,51.3773517867459,"1, 0, 5",1,12.2 میلیارد,,مسکونی,فروش آپارتمان/2 خوابه در سعادت اباد - منطقه 2 ,مسکونی,,,
